Date,Town,Odometer,Miles,Gallons,Mileage,PPG,Discount,Total $,/month
08/11/07,York,112430,345.4,10.84,31.85,2.7,,29.27,
08/20/07,Stevensville,112847,417,12.16,34.31,2.58,,31.35,
09/03/07,Stevensville,113267,420.8,12.76,32.98,2.57,,32.78,
09/10/07,Stevensville,113628,361,11.09,32.55,2.65,,29.38,
09/17/07,York,114080.6,452.6,13.27,34.1,2.66,0.1,33.96,
09/29/07,York,114396.9,316.3,9.25,34.19,2.76,,25.52,121.64
10/04/07,Annapolis,114824.8,427.9,11.84,36.13,2.6,,30.78,
10/14/07,Stevensville,115143.7,318.9,9.51,33.54,2.6,,24.71,
10/22/07,Stevensville,115473,329.3,9.73,33.84,2.64,,25.68,81.17
11/01/07,York,115882,409,11.88,34.44,3,,35.62,
11/04/07,Stevensville,116141,259,7.73,33.51,2.82,,21.79,
11/16/07,Hunt Valley,116546,405,12.85,31.52,3.03,,38.93,
11/18/07,Stevensville,116870,324.5,9.2,35.29,3,,27.58,
11/25/07,Stevensville,117292,421.7,12.35,34.15,2.92,,36.05,159.96
12/14/07,Hunt Valley,117687,395,13.08,30.21,2.98,,38.95,
12/17/07,Stevensville,117879,192,5.69,33.77,2.84,,16.14,
12/28/07,York,118258,379,12.63,30.02,3.08,,38.88,93.97
01/01/08,Stevensville,118561,303,9.14,33.14,2.93,,26.78,
01/07/08,Wye Mills,118859,298,9.26,32.19,3,,27.76,
01/25/08,Wilmington,119180,321,11.84,27.11,3,,35.51,
01/28/08,Centreville,119293,113,3.09,36.59,2.9,,8.95,99
02/16/08,Devon,119996,,,,2.99,,,
02/17/08,Stevensville,120123,127,3.79,33.55,2.88,,10.9,
03/02/08,,120431,,3.17,,3.16,,10,
03/03/08,Stevensville,120606,483,12.74,30.37,3.07,,39.1,
03/15/08,Middletown,120892,286,9.76,29.32,3.16,,30.82,
03/16/08,Middletown,121021,129,3.45,37.41,3.16,,10.89,
03/30/08,Stevensville,121380,359,11.7,30.69,3.2,,37.43,118.23
04/21/08,Devon,121717,,6,,3.57,,21.42,
04/27/08,Owings Mills,121887,507,11.25,29.39,3.64,,40.94,62.36
05/09/08,Middletown,122239,352,11.26,31.27,3.68,,41.42,
05/11/08,Middletown,122348,109,2.81,38.86,3.7,,10.38,
05/20/08,Annapolis,,,2.51,,3.8,,9.53,
05/20/08,Arundel Mills,122740,392,10.09,31.12,3.76,,37.91,
05/26/08,Middletown,123097,357,10.02,35.65,3.84,,38.45,
05/31/08,Newark,123322,225,7.28,30.89,4,,29.13,166.82
06/13/08,Stevensville,123729,407,12.92,31.51,3.93,,50.74,
06/19/08,York,124006,277,8.67,31.95,3.9,,33.8,
06/29/08,Middletown,124385,379,12.2,31.07,3.83,,46.71,131.26
07/19/08,Plymouth Mtg,124764,379,13.12,28.88,4.12,,54.05,
07/27/08,Stevensville,124994,230,7.41,31.02,3.81,,28.24,82.29
08/01/08,--,125150,,,,,,,
08/10/08,Chester,125567,417,12.79,32.61,3.67,,46.91,
08/24/08,Devon,125921,354,11.78,30.05,3.62,,42.64,89.55
09/01/08,Middletown,126145,224,7.3,30.68,3.36,,24.52,
09/07/08,Middletown,126448,303,9.14,33.14,3.34,,30.53,
09/22/08,Middletown,126822,374,12.54,29.82,3.42,,42.88,97.93
10/05/08,Middletown,127181,359,11.84,30.33,3.22,,38.1,
10/19/08,Stevensville,127520,339,11.39,29.76,2.69,,30.64,
